date,equity
2021-07-22,99966.77
2021-07-23,100765.87
2021-07-26,100615.02
2021-07-27,100127.02
2021-07-28,100390.17
2021-07-29,100736.9
2021-07-30,100370.0
2021-08-02,100510.07
2021-08-03,101058.56
2021-08-04,101163.09
2021-08-05,101681.19
2021-08-06,101528.7
2021-08-09,101693.98
2021-08-10,101141.7
2021-08-11,101109.13
2021-08-12,101536.76
2021-08-13,101716.89
2021-08-16,101361.23
2021-08-17,100736.63
2021-08-18,99882.4
2021-08-19,100208.86
2021-08-20,101084.12
2021-08-23,102160.01
2021-08-24,102270.78
2021-08-25,102382.73
2021-08-26,101957.36
2021-08-27,102848.22
2021-08-30,103460.66
2021-08-31,103480.88
2021-09-01,103673.53
2021-09-02,103778.72
2021-09-03,103985.08
2021-09-07,103735.3
2021-09-08,103241.12
2021-09-09,102789.77
2021-09-10,102099.95
2021-09-13,101857.41
2021-09-14,101743.61
2021-09-15,102344.03
2021-09-16,102516.32
2021-09-17,101583.22
2021-09-20,99983.29
2021-09-21,100158.11
2021-09-22,101093.34
2021-09-23,101983.55
2021-09-24,101963.7
2021-09-27,101208.16
2021-09-28,98710.67
2021-09-29,98466.23
2021-09-30,98156.03
2021-10-01,98646.32
2021-10-04,96921.38
2021-10-05,97929.67
2021-10-06,98463.19
2021-10-07,99350.17
2021-10-08,98764.26
2021-10-11,98131.91
2021-10-12,98048.71
2021-10-13,99035.61
2021-10-14,100364.61
2021-10-15,100789.65
2021-10-18,101742.52
2021-10-19,102367.69
2021-10-20,102294.12
2021-10-21,103087.99
2021-10-22,102541.65
2021-10-25,103220.4
2021-10-26,103232.76
2021-10-27,103044.18
2021-10-28,104238.31
2021-10-29,104594.44
2021-11-01,105159.02
2021-11-02,105435.78
2021-11-03,106308.12
2021-11-04,107532.39
2021-11-05,107499.78
2021-11-08,108190.38
2021-11-09,107654.58
2021-11-10,106122.87
2021-11-11,106898.62
2021-11-12,107809.76
2021-11-15,107685.88
2021-11-16,109097.44
2021-11-17,108456.83
2021-11-18,108775.93
2021-11-19,108984.69
2021-11-22,107644.23
2021-11-23,106883.53
2021-11-24,107562.21
2021-11-26,106072.94
2021-11-29,107979.35
2021-11-30,105972.4
2021-12-01,103636.55
2021-12-02,104583.72
2021-12-03,102945.05
2021-12-06,102989.65
2021-12-07,106111.12
2021-12-08,106500.76
2021-12-09,104856.42
2021-12-10,105698.1
2021-12-13,104651.04
2021-12-14,103618.61
2021-12-15,105879.56
2021-12-16,103303.9
2021-12-17,103177.08
2021-12-20,102352.94
2021-12-21,104409.02
2021-12-22,105404.84
2021-12-23,106147.03
2021-12-27,107833.89
2021-12-28,107222.33
2021-12-29,107197.23
2021-12-30,106883.84
2021-12-31,106388.63
2022-01-03,106951.58
2022-01-04,105935.55
2022-01-05,102953.94
2022-01-06,103034.01
2022-01-07,101726.91
2022-01-10,101942.36
2022-01-11,103200.38
2022-01-12,103431.31
2022-01-13,101293.48
2022-01-14,101999.75
2022-01-18,99349.68
2022-01-19,98244.88
2022-01-20,97233.66
2022-01-21,96946.09
2022-01-24,97195.34
2022-01-25,96505.05
2022-01-26,96418.81
2022-01-27,96506.95
2022-01-28,97055.86
2022-01-31,97379.95
2022-02-01,97467.48
2022-02-02,98181.26
2022-02-03,95762.78
2022-02-04,95799.95
2022-02-07,95822.33
2022-02-08,95953.96
2022-02-09,96063.33
2022-02-10,94734.2
2022-02-11,94555.01
2022-02-14,94445.68
2022-02-15,94477.44
2022-02-16,94287.8
2022-02-17,94232.32
2022-02-18,94230.62
2022-02-22,94216.29
2022-02-23,94005.83
2022-02-24,93942.46
2022-02-25,93887.53
2022-02-28,93758.09
2022-03-01,93439.02
2022-03-02,94334.13
2022-03-03,94153.2
2022-03-04,93535.33
2022-03-07,92816.08
2022-03-08,92713.0
2022-03-09,93050.43
2022-03-10,92987.08
2022-03-11,92999.96
2022-03-14,92744.02
2022-03-15,93086.77
2022-03-16,93230.45
2022-03-17,93279.11
2022-03-18,93480.27
2022-03-21,93480.25
2022-03-22,93510.74
2022-03-23,93462.36
2022-03-24,93590.05
2022-03-25,93666.78
2022-03-28,93693.1
2022-03-29,93763.13
2022-03-30,93056.47
2022-03-31,92954.65
2022-04-01,92878.43
2022-04-04,92848.1
2022-04-05,91702.24
2022-04-06,91657.55
2022-04-07,91637.13
2022-04-08,91516.47
2022-04-11,91173.33
2022-04-12,91000.33
2022-04-13,91292.44
2022-04-14,91050.68
2022-04-18,91203.45
2022-04-19,91525.7
2022-04-20,91528.51
2022-04-21,91248.23
2022-04-22,90991.61
2022-04-25,91236.87
2022-04-26,90682.95
2022-04-27,90659.81
2022-04-28,90997.43
2022-04-29,90482.29
2022-05-02,90491.58
2022-05-03,90576.91
2022-05-04,90904.03
2022-05-05,90459.68
2022-05-06,90181.02
2022-05-09,89394.72
2022-05-10,89381.25
2022-05-11,89307.47
2022-05-12,89374.73
2022-05-13,89546.17
2022-05-16,89552.77
2022-05-17,89662.35
2022-05-18,89333.15
2022-05-19,89244.98
2022-05-20,89178.62
2022-05-23,89169.14
2022-05-24,89095.41
2022-05-25,89093.48
2022-05-26,89093.48
2022-05-27,89093.48
2022-05-31,89095.95
2022-06-01,89092.23
2022-06-02,89092.23
2022-06-03,89092.23
2022-06-06,89092.23
2022-06-07,89091.14
2022-06-08,89032.91
2022-06-09,89067.77
2022-06-10,88961.94
2022-06-13,88600.67
2022-06-14,88438.36
2022-06-15,88750.89
2022-06-16,88250.01
